lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
105.11126088264153,26.33948803250416,茶悦,蟠龙小学西侧80米,贵州省,六盘水市,,餐饮服务;冷饮店;冷饮店,050700,B0LAR1EF3B,餐饮服务,冷饮店,冷饮店,
105.1084321044797,26.34037969929638,茨冲鸡火锅(水黄公路店),中国石化六盘水水城龙城加油站北侧130米,贵州省,六盘水市,,餐饮服务;中餐厅;火锅店,050117,B0G2A54H2I,餐饮服务,中餐厅,火锅店,
105.11206052738066,26.340789185185926,爱莱士,蟠龙镇人民政府东北侧50米,贵州省,六盘水市,,餐饮服务;快餐厅;快餐厅,050300,B0M67ZXVFI,餐饮服务,快餐厅,快餐厅,
105.11215153179892,26.34002689667953,好来汉堡,蟠龙镇人民政府东南侧70米,贵州省,六盘水市,,餐饮服务;快餐厅;快餐厅,050300,B0JUVR7M77,餐饮服务,快餐厅,快餐厅,
105.11239144831404,26.340063084166623,顺华羊肉粉,蟠龙镇人民政府东南侧80米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0JUZLB377,餐饮服务,中餐厅,中餐厅,
105.1104291757111,26.340373896840678,富家烤鱼,公安局蟠龙派出所西南侧110米,贵州省,六盘水市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0K0RMFS5B,餐饮服务,餐饮相关场所,餐饮相关,
105.11064910198054,26.339997864527707,海波羊肉粉,蟠龙镇人民政府西南侧100米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0KUFN4MS2,餐饮服务,中餐厅,中餐厅,
105.11104096814329,26.339490886833488,多乐滋蛋糕,蟠龙小学西侧100米,贵州省,六盘水市,,餐饮服务;糕饼店;糕饼店,050800,B0KU2MZ854,餐饮服务,糕饼店,糕饼店,
105.1121605446891,26.33968874637826,罗家柴火辣椒面,蟠龙小学北侧,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0L3R1O7TK,餐饮服务,中餐厅,中餐厅,
105.03489865090228,25.9958907585631,鱼悦餐馆,幸惠超市东北侧210米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0K2MRUDAI,餐饮服务,中餐厅,中餐厅,
105.11247338784624,26.340762466561824,金苹果西饼,蟠龙镇人民政府东侧90米,贵州省,六盘水市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0G2O6BOUW,餐饮服务,餐饮相关场所,餐饮相关,
105.1094816075441,26.340097179630646,食为天农家菜馆,水城民安康医院西侧,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0K0RMKUV0,餐饮服务,中餐厅,中餐厅,
105.10981145774367,26.340087376161257,卖鸡鸭鹅点杀店,中国石化六盘水水城龙城加油站东北侧130米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0MBD6ES0M,餐饮服务,中餐厅,中餐厅,
105.11025126391215,26.34010766030871,香回头砂锅粉,蟠龙镇人民政府西侧140米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0K3OMTWFH,餐饮服务,中餐厅,中餐厅,
105.11066109515563,26.34003789085048,原味羊肉粉馆,蟠龙镇黄金湾商业7栋,贵州省,六盘水市,,餐饮服务;中餐厅;综合酒楼,050101,B0J0ZDDRRZ,餐饮服务,中餐厅,综合酒楼,
105.09992726911247,25.99622763507495,富贵牛肉馆,花贡金源酒店东侧50米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0JR0PTSPT,餐饮服务,中餐厅,中餐厅,
105.11216445851484,26.34148057779803,黔客隆鞋服批发广场,人民法院蟠龙人民法庭东北侧90米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0JKKXACS0,餐饮服务,中餐厅,中餐厅,
105.11241033181936,26.342390172095786,子酉鲜果奶茶,人民法院蟠龙人民法庭东北侧180米,贵州省,六盘水市,,餐饮服务;冷饮店;冷饮店,050700,B0LKX6H2HA,餐饮服务,冷饮店,冷饮店,
